"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19725	"71655"	2	"71655+1509241"	"2"	"1224"	"1236"	"91347"	"1903410"	"71655"	NA	NA	"Brenneria"	"genus"
19725	"1509241"	2	"71655+1509241"	"2"	"1224"	"1236"	"91347"	"1903410"	"71655"	"1509241"	NA	"Brenneria roseae"	"species"
19726	"122277"	1	"122277"	"2"	"1224"	"1236"	"91347"	"1903410"	"122277"	NA	NA	"Pectobacterium"	"genus"
19727	"1913084"	1	"1913084"	"2"	"1224"	"1236"	"91347"	"1903410"	"122277"	"1913084"	NA	"Pectobacterium sp."	"species"
19739	"1505588"	1	"1505588"	"2"	"1224"	"1236"	"91347"	"1903410"	"71655"	"1505588"	NA	"Brenneria populi Li et al. 2015"	"species"
19746	"554"	1	"554"	"2"	"1224"	"1236"	"91347"	"1903410"	"122277"	"554"	NA	"Pectobacterium carotovorum"	"species"
19753	"204037"	2	"204037+204038"	"2"	"1224"	"1236"	"91347"	"1903410"	"204037"	NA	NA	"Dickeya"	"genus"
19753	"204038"	2	"204037+204038"	"2"	"1224"	"1236"	"91347"	"1903410"	"204037"	"204038"	NA	"Dickeya dadantii"	"species"
19757	"1082702"	1	"1082702"	"2"	"1224"	"1236"	"91347"	"1903410"	"1082702"	NA	NA	"Lonsdalea"	"genus"
19775	"2884243"	1	"2884243"	"2"	"1224"	"1236"	"91347"	"1903410"	"2884243"	NA	NA	"Musicola"	"genus"
19777	"1565532"	1	"1565532"	"2"	"1224"	"1236"	"91347"	"1903411"	"1565532"	NA	NA	"Rouxiella"	"genus"
19780	"568"	1	"568"	"2"	"1224"	"1236"	"91347"	"1903412"	"568"	NA	NA	"Hafnia"	"genus"
19781	"34037"	1	"34037"	"2"	"1224"	"1236"	"91347"	"1903411"	"34037"	NA	NA	"Rahnella"	"genus"
19792	"629"	1	"629"	"2"	"1224"	"1236"	"91347"	"1903411"	"629"	NA	NA	"Yersinia"	"genus"
19814	"630"	1	"630"	"2"	"1224"	"1236"	"91347"	"1903411"	"629"	"630"	NA	"Yersinia enterocolitica"	"species"
19840	"61651"	1	"61651"	"2"	"1224"	"1236"	"91347"	"1903411"	"613"	"61651"	NA	"Serratia ficaria"	"species"
19842	"82978"	1	"82978"	"2"	"1224"	"1236"	"91347"	"1903416"	"82978"	NA	NA	"Budvicia"	"genus"
19843	"2716544"	1	"2716544"	"2"	"1224"	"1236"	"91347"	"1903411"	"2716544"	NA	NA	"Chimaeribacter"	"genus"
19848	"1903414"	1	"1903414"	"2"	"1224"	"1236"	"91347"	"1903414"	NA	NA	NA	"Morganellaceae"	"family"
19853	"135625"	2	"135625+712"	"2"	"1224"	"1236"	"135625"	NA	NA	NA	NA	"Pasteurellales"	"order"
19853	"712"	2	"135625+712"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA	NA	"Pasteurellaceae"	"family"
19854	"745"	1	"745"	"2"	"1224"	"1236"	"135625"	"712"	"745"	NA	NA	"Pasteurella"	"genus"
19855	"724"	1	"724"	"2"	"1224"	"1236"	"135625"	"712"	"724"	NA	NA	"Haemophilus"	"genus"
19857	"713"	1	"713"	"2"	"1224"	"1236"	"135625"	"712"	"713"	NA	NA	"Actinobacillus"	"genus"
19865	"416916"	1	"416916"	"2"	"1224"	"1236"	"135625"	"712"	"416916"	NA	NA	"Aggregatibacter"	"genus"
