"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12841	"1033996"	2	"1033996+1033997"	"2157"	"651137"	"1643678"	"1033996"	NA	NA	NA	NA
12841	"1033997"	2	"1033996+1033997"	"2157"	"651137"	"1643678"	"1033996"	"1033997"	NA	NA	NA
12842	"497726"	1	"497726"	"2157"	"651137"	"1643678"	"1033996"	"1033997"	"497726"	NA	NA
12846	"1078904"	1	"1078904"	"2157"	"651137"	NA	NA	NA	"1078904"	NA	NA
12853	"31932"	2	"31932+338190"	"2157"	"651137"	"1643678"	"31932"	NA	NA	NA	NA
12853	"338190"	2	"31932+338190"	"2157"	"651137"	"1643678"	"31932"	"338190"	NA	NA	NA
12854	"1007082"	1	"1007082"	"2157"	"651137"	"1643678"	"31932"	"338190"	"1007082"	NA	NA
12855	"338191"	1	"338191"	"2157"	"651137"	"1643678"	"31932"	"338190"	"338191"	NA	NA
12865	"1978152"	1	"1978152"	"2157"	"1978152"	NA	NA	NA	NA	NA	NA
12869	"183924"	1	"183924"	"2157"	"28889"	"183924"	NA	NA	NA	NA	NA
12870	"114380"	1	"114380"	"2157"	"28889"	"183924"	"114380"	NA	NA	NA	NA
12871	"2272"	1	"2272"	"2157"	"28889"	"183924"	"114380"	"2272"	NA	NA	NA
12873	"54258"	1	"54258"	"2157"	"28889"	"183924"	"114380"	"2272"	"54258"	NA	NA
12874	"2307"	1	"2307"	"2157"	"28889"	"183924"	"114380"	"2307"	NA	NA	NA
12876	"2308"	1	"2308"	"2157"	"28889"	"183924"	"114380"	"2307"	"2308"	NA	NA
12879	"56635"	1	"56635"	"2157"	"28889"	"183924"	"114380"	"2272"	"56635"	NA	NA
12880	"871006"	1	"871006"	"2157"	"28889"	"183924"	"871006"	NA	NA	NA	NA
12881	"871007"	2	"871007+105850"	"2157"	"28889"	"183924"	"871006"	"871007"	NA	NA	NA
12881	"105850"	2	"871007+105850"	"2157"	"28889"	"183924"	"871006"	"871007"	"105850"	NA	NA
12887	"685948"	3	"685948+685949+685950"	"2157"	"28889"	"183924"	"685948"	NA	NA	NA	NA
12887	"685949"	3	"685948+685949+685950"	"2157"	"28889"	"183924"	"685948"	"685949"	NA	NA	NA
12887	"685950"	3	"685948+685949+685950"	"2157"	"28889"	"183924"	"685948"	"685949"	"685950"	NA	NA
12892	"2273"	1	"2273"	"2157"	"28889"	"183924"	"114380"	"2272"	"2273"	NA	NA
12894	"2281"	3	"2281+118883+2284"	"2157"	"28889"	"183924"	"2281"	NA	NA	NA	NA
12894	"118883"	3	"2281+118883+2284"	"2157"	"28889"	"183924"	"2281"	"118883"	NA	NA	NA
12894	"2284"	3	"2281+118883+2284"	"2157"	"28889"	"183924"	"2281"	"118883"	"2284"	NA	NA
12900	"41980"	1	"41980"	"2157"	"28889"	"183924"	"2281"	"118883"	"41980"	NA	NA
12903	"12914"	1	"12914"	"2157"	"28889"	"183924"	"2281"	"118883"	"12914"	NA	NA
12908	"2266"	2	"2266+2267"	"2157"	"28889"	"183924"	"2266"	NA	NA	NA	NA
